Bird Species
Long-legged Thicketbird
Des Murs's Wiretail
Streaked Xenops
White-banded Mockingbird
Lemon Dove
Common Crane
Cinereous Finch
Nene
Violet-capped Woodnymph
Spotted Tanager
Mountain Plover
White-winged Black Tyrant
Golden-breasted Fruiteater
Chestnut-bellied Monarch
Cassin's Malimbe
Sakalava Weaver
Trilling Cisticola
Sword-billed Hummingbird
Pearly-bellied Seedeater
Seychelles Scops Owl
Southern White-fringed Antwren
Sepik-Ramu Shrikethrush
Common Scale-backed Antbird
Blue-headed Coucal
Eastern Whip-poor-will
Blue Paradise Flycatcher
Iris Lorikeet
White-bellied Spinetail
Togian White-eye
Small Minivet
Rio de Janeiro Antwren
Yellow-billed Tit-Tyrant
Ibera Seedeater
Baird's Trogon
Dark-billed Cuckoo
Little Bittern
Red-browed Finch
Crested Serpent Eagle
Copper Pheasant
Groove-billed Toucanet
Black-naped Oriole
Black Thrush
Adelaide's Warbler
Black-eared Wood Quail
White-tailed Warbler
Plain-colored Seedeater
White-headed Brushfinch
Collared Crescentchest
White-tipped Sicklebill
Madagascar Cuckoo-Hawk
White-whiskered Hermit
Red-fronted Prinia
Ash-colored Cuckoo
White-backed Duck
Olivaceous Greenlet
Australian Pratincole
Chestnut-crowned Foliage-gleaner
Stripe-backed Bittern
Sunda Collared Dove
Choco Woodpecker
Black-chinned Yuhina
Pallid Scops Owl
Wallcreeper
Mangrove Hummingbird
Azure Jay
Philippine Magpie-Robin
Citril Finch
Azure-rumped Tanager
Apurimac Spinetail
Slender-billed Scimitar Babbler
Tibetan Partridge
Mangareva Kingfisher
Samoan Fantail
Subantarctic Snipe
Blue Bird-of-paradise
Green-backed Honeyeater
Pallas's Leaf Warbler
Willard's Sooty Boubou
Chinstrap Penguin
Hooded Grosbeak
Puvel's Illadopsis
Sirkeer Malkoha
Emerald-bellied Puffleg
Least Honeyguide
Peruvian Wren
Crimson-backed Flameback
Paria Brushfinch
Chatham Rail
Hangnest Tody-Tyrant
Rufous-cheeked Nightjar
Boat-billed Tody-Tyrant
Abyssinian Woodpecker
Pacific Baza
Bush Blackcap
Yellow-billed Malkoha
Lesser Kiskadee
East Coast Boubou
Yellow-throated Nightingale-Thrush
Southern Banded Snake Eagle
Nicobar Megapode
Starred Wood Quail
Red-browed Pardalote
Boat-tailed Grackle
Ashy Bulbul
Rennell Whistler
Brown Prinia
Stripe-breasted Rhabdornis
White-rumped Swallow
Long-tailed Tapaculo
Sri Lanka Spurfowl
Grey-backed Sparrow-Lark
Rusty-browed Warbling Finch
Plain-bellied Emerald
Dusky-throated Antshrike
Mindanao White-eye
Timberline Wren
Short-tailed Swift
Red-flanked Bluetail
Whistling Cisticola
Cardinal Lory
Ash-colored Tapaculo
Tepui Foliage-gleaner
Appert's Tetraka
Lesser Whistling Duck
Speckle-breasted Woodpecker
Sulphur-bellied Tyrannulet
White-cheeked Bullfinch
Eastern Striolated Puffbird
Meadow Bunting
Auckland Rail
Western Emerald
Yungas Manakin
Pearl-breasted Swallow
Russet-capped Tesia
Saunders's Tern
Mauritius Bulbul
Gizo White-eye
Lemon-chested Greenlet
White-collared Jay
Barred Buttonquail
Black Petrel
Brownish Twistwing
Baird's Sandpiper
Hartlaub's Babbler
Brown-necked Raven
Chihuahuan Raven
Green-faced Parrotfinch
Noisy Pitta
Rufous-collared Sparrow
Hill Prinia
Palm-nut Vulture
Ring-necked Francolin
Chinese Leaf Warbler
Stitchbird
Dusky White-eye
Red-legged Thrush
Puerto Rican Woodpecker
Purple-headed Starling
Black-bellied Seedcracker
Lucy's Warbler
Mountain Kingfisher
Taiwan Vivid Niltava
Tepui Parrotlet
Long-billed White-eye
Spotted Crake
Bronze-winged Duck
White-eyed River Martin
Pale-footed Bush Warbler
Hudsonian Whimbrel
White-throated Babbler
White-winged Flufftail
Lesser Blue-eared Starling
Socotra Starling
Somali Bunting
Australian Boobook
Bar-headed Goose
Rufous Grasswren
Northern Boobook
African Rock Pipit
White-bellied Bustard
Black-throated Babbler
Monte Yellow Finch
Bay-vented Cotinga
Two-banded Plover
Polynesian Triller
Spix's Spinetail
Lesser Elaenia
Grey Tit
Yellow-browed Seedeater
Spotted Barbtail
Reichenow's Batis
Tawny-breasted Honeyeater
Correndera Pipit
Chinese Rubythroat
Ochre-lored Flatbill
Eurasian Coot
Wing-snapping Cisticola
Ankober Serin
Peleng Fantail
Oahu Akialoa
Naked-faced Barbet
Hodgson's Frogmouth
Little Eagle
Jambu Fruit Dove
Socotra Scops Owl
Watercock
Bronze-tailed Peacock-Pheasant
Grey Waxbill
Greenish Yellow Finch
Magnificent Bird-of-paradise
Baudin's Black Cockatoo
Middendorff's Grasshopper Warbler
Short-toed Treecreeper
Rosy Starling
Speckle-fronted Weaver
Western Swamphen
Magellanic Tapaculo
Eastern Bristlebird
Black-necked Stilt
Green-backed Robin
Rosy Bee-eater
Pacific Black Duck
Enggano Thrush
Chestnut-naped Forktail
Rufous-banded Owl
Lyre-tailed Nightjar
Pied Cuckoo-Dove
Brown-headed Greenlet
Blue Mountain Vireo
Chirping Cisticola
Himalayan Shortwing
White-whiskered Laughingthrush
Ashy-faced Owl
Shining-blue Kingfisher
Buff-banded Rail
Chinese Nuthatch
White-naped Crane
Terek Sandpiper
White-vented Whistler
Malagasy Brush Warbler
Bahama Swallow
Eurasian Golden Oriole
Bengal Bush Lark
New Caledonian Buttonquail
Collared Trogon
Tawny-tufted Toucanet
Sumatran Wren-Babbler
Curve-billed Scythebill
Biak Black Flycatcher
Yellow Honeyeater
Black-throated Antbird
Little Brown Bustard
Northern Red-billed Hornbill
Thick-billed Euphonia
Rodrigues Night Heron
Red-tinged Myzomela
Ryukyu Wood Pigeon
Greater Crested Tern
Black Storm Petrel
White-crowned Hornbill
Grey-cheeked Parakeet
Austral Blackbird
Striped Laughingthrush
Orange-bellied Flowerpecker
Sumatran Babbler
White-lored Antpitta
Slaty-blue Flycatcher
Helmeted Hornbill
Chattering Gnatwren
Ruddy Kingfisher
Indochinese Fulvetta
Dark-winged Miner
White-tailed Hummingbird
Golden Grosbeak
Green Jery
Black-billed Coucal
Red-winged Laughingthrush
Rufous Twistwing
Philippine Drongo-Cuckoo
Barred Forest Falcon
Purple-backed Fairywren
Trumpet Manucode
Karthala Scops Owl
Bassian Thrush
Chestnut-backed Sparrow-Weaver
Peregrine Falcon
Yellow-crowned Gonolek
Green-rumped Parrotlet
Seychelles Fody
Japanese Sparrowhawk
Yucatan Vireo
Przevalski's Redstart
Donaldson Smith's Nightjar
Orange-breasted Fruiteater
Tacarcuna Bush Tanager
Yungas Warbler
Baikal Teal
Pohnpei Lorikeet
Crimson-backed Sunbird
Seychelles Swiftlet
Bright-rumped Attila
Brown-capped Whitestart
Yellow-spotted Bush Sparrow
Crested Guan
Yellow-legged Pigeon
Golden Cuckooshrike
White-breasted Woodswallow
Quailfinch Indigobird
Green-winged Saltator
Somali Ostrich
Cuzco Brushfinch
Black-crowned Monjita
White-browed Scrub Robin
Black-winged Petrel
Vesper Sparrow
Javan Banded Pitta
Rwenzori Double-collared Sunbird
Slender-tailed Nightjar
Rwenzori Batis
Brown-chested Alethe
White-tailed Shrike-Tyrant
Mindanao Racket-tail
Olivaceous Elaenia
Heermann's Gull
Peruvian Plantcutter
Oriental Stork
Bald Parrot
Long-tailed Parakeet
Hartlaub's Duck
Yellow-bellied Tanager
Tschudi's Tapaculo
Dusky Bush Tanager
Knob-billed Duck
Lafresnaye's Piculet
Cape May Warbler
Dusky Woodswallow
Brown Lory
Pink-headed Duck
Olive Finch
Violet Cuckoo
Sombre Kingfisher
Society Kingfisher
Ring-tailed Pigeon
Chestnut-crested Yuhina
Solomons Cuckooshrike
Short-billed Pigeon
Double-toothed Kite
Blue-winged Racket-tail
One-colored Becard
Red-billed Scimitar Babbler
Marbled Wood Quail
Wetar Ground Dove
White-bellied Pygmy Tyrant
Grey-eared Honeyeater
Bornean Ground Cuckoo
Nashville Warbler
Rufous-fronted Thornbird
Chivi Vireo
Rusty-cheeked Scimitar Babbler
Red Kite
Eastern Screech Owl
Giant Laughingthrush
Lesser Wagtail-Tyrant
Orange-winged Amazon
Red-legged Crake
Spectacled Cormorant
Peach-fronted Parakeet
Sooty Falcon
Common Whitethroat
Auckland Teal
Red-chinned Lorikeet
Pale-throated Wren-Babbler
Black-eared Sparrow-Lark
Chukar Partridge
Black Monarch
Kenrick's Starling
Sangkar White-eye
Island Imperial Pigeon
Golden White-eye
Marshall's Iora
Black-billed Barbet
Tanahjampea Blue Flycatcher
Helmeted Friarbird
White-cheeked Pintail
Sick's Swift
Green Pygmy Goose
Rusty-bellied Brushfinch
Grey-breasted Spurfowl
Henderson's Ground Jay
Royal Parrotfinch
Black Boubou
Streak-headed Woodcreeper
Lowland Masked Apalis
Little Inca Finch
Brazilian Laniisoma
Speckled Reed Warbler
Northern Shrike
Cinnamon-throated Woodcreeper
Spotted Whistling Duck
Fiery-breasted Bushshrike
Eastern Clapper Lark
Hooded Robin
Rufous Limestone Babbler
Brown-eared Woodpecker
Western Greenbul
Seychelles Blue Pigeon
Common Paradise Kingfisher
Black Drongo
Pin-striped Tit-Babbler
Red-shouldered Tanager
Many-colored Rush Tyrant
White-cheeked Tody-Flycatcher
Unicolored Thrush
Hawaiian Petrel
Kosrae Crake
Purple-bellied Lory
Yellow-thighed Brushfinch
Caucasian Snowcock
Sultan's Cuckoo-Dove
Spectacled Weaver
Long-tailed Broadbill
Creamy-bellied Antwren
Narrow-tailed Starling
Marianne White-eye
Village Weaver
Eastern Violet-backed Sunbird
Tenggara Swiftlet
Chorister Robin-Chat
Yellow-breasted Pipit
Timor Oriole
West Solomons Owl
Giant Coot
Patagonian Yellow Finch
Buff-browed Foliage-gleaner
Pollen's Vanga
Citrine Canary-flycatcher
Cape Spurfowl
Common Eider
Chinese Grouse
Pied Puffbird
Stephen's Lorikeet
Brown Nightjar
White-fronted Whitestart
Nkulengu Rail
Helmeted Pygmy Tyrant
Pygmy White-eye
Exclamatory Paradise Whydah
North Island Robin
Yellow-browed Tyrant
Golden-bellied Gerygone
Red-billed Starling
Ethiopian Cisticola
Brushland Tinamou
Snowy Plover
Tody Motmot
Western Bluebill
Red Warbler
African Crimson-winged Finch
Lesser Whitethroat
Plumbeous Antvireo
Rufous-tailed Robin
Ringed Antpipit
Black-crested Finch
Rufous-chested Flycatcher
Great Tit
Grey-headed Greenbul
Pavonine Quetzal
Indian Paradise Flycatcher
African Black Swift
Orange-breasted Bushshrike
Olivaceous Woodcreeper
Olivaceous Siskin
Javan Hawk-Eagle
White-browed Foliage-gleaner
Grey-bellied Hawk
Sociable Lapwing
Lady Amherst's Pheasant
Needle-billed Hermit
Welcome Swallow
Crimson-breasted Flowerpecker
Silver-rumped Spinetail
Plain-brown Woodcreeper
Dickinson's Kestrel
Jamaican Mango
Black-thighed Puffleg
Long-tailed Fiscal
Fan-tailed Widowbird
MacGregor's Honeyeater
Horned Sungem
Vega Gull
Yellow-crested Tanager
Black-girdled Barbet
Raggiana Bird-of-paradise
Grey Francolin
White-eyed Vireo
Ula-ai-hawane
Tepui Toucanet
Grey Crow
Cape White-eye
Crested Quetzal
Whiskered Screech Owl
Black-lored Babbler
Greenish Puffleg
Common Diving Petrel
Vanuatu Kingfisher
Chestnut-bellied Mountain Tanager
Painted Buttonquail
Azure-hooded Jay
Lesser Green Leafbird
Red-crested Cotinga
South African Shelduck
Bay Coucal
Pale-rumped Swift
'Fuscous Flycatcher sp.nov.'
Esmeraldas Woodstar
Cuban Emerald
North Island Snipe
Lovely Cotinga
Pink-billed Lark
Black Sunbird
Tawny-breasted Myiobius
Forest Penduline Tit
Narrow-billed Antwren
Guadalcanal Dwarf Kingfisher
Yellow-eared Spiderhunter
White-bellied Antpitta
Hawaii Elepaio
Gabon Woodpecker
Black Oropendola
West Himalayan Bush Warbler
Tropical Shearwater
Rufous-throated Sapphire
Southern Rockhopper Penguin
White-browed Brushfinch
Siberian Thrush
Thick-billed Saltator
Crested Auklet
Black-winged Snowfinch
Black-banded Owl
Belford's Melidectes
White-crowned Forktail
Guaiquinima Whitestart
Hill Partridge
D'Orbigny's Chat-Tyrant
Pied Water Tyrant
Maned Duck
Trilling Tapaculo
Upland Antshrike
Elegant Tern
Pin-tailed Manakin
Fuscous Flycatcher
Oahu Nukupuu
Plain Leaf Warbler
Marsh Tchagra
Pileated Flycatcher
Madagascar Green Pigeon
Lattice-tailed Trogon
Scintillant Hummingbird
Beautiful Sheartail
Gilliard's Honeyeater
Bearded Scrub Robin
Harpy Eagle
Rüppell's Robin-Chat
Philippine Nightjar
African Marsh Harrier
Jamaican Tody
Peruvian Tern
Dusky Lory
Tepui Whitestart
African Swamphen
Great Crested Grebe
Grey-headed Broadbill
Lesser Ground Robin
Yellow-throated Spadebill
Akohekohe
Kirtland's Warbler
Fairy Tern
Red-headed Finch
Wilson's Warbler
Sparkling Violetear
Brubru
Little Bronze Cuckoo
Tufted Tit-Spinetail
Orange-crested Manakin
Red-throated Twinspot
White Monjita
Javan Cochoa
Chatham Pigeon
Fawn-breasted Thrush
Crimson-fronted Cardinal
Bonin White-eye
Blyth's Hawk-Eagle
Bull-headed Shrike
Elliot's Woodpecker
Great Horned Owl
Red-rumped Cacique
Eurasian Tree Sparrow
Spectacled Tyrannulet
Large Tree Finch
Mountain Mouse-warbler
Sula Jungle Flycatcher
Chestnut Seedeater
Spot-breasted Oriole
Spotted Berrypecker
Collared Finchbill
Aleutian Tern
Black-billed Amazon
Purplish-backed Jay
River Tern
Micronesian Megapode
Rufous-fronted Parakeet
Eurasian Reed Warbler
Yellow-eyed Babbler
Henderson Petrel
Blue-crowned Parakeet
Malayan Black Magpie
Sharp-billed Treehunter
Yellowish Imperial Pigeon
Rufous-capped Nunlet
Melanesian Kingfisher
Yellow-browed Bulbul
White-throated Tyrannulet
Gold-ringed Tanager
Green Kingfisher
Guadalupe Caracara
Bornean Whistler
Solomons White-eye
Plumbeous Euphonia
Puna Thistletail
Atitlan Grebe
Curve-billed Reedhaunter
Flores Green Pigeon
Black-billed Gull
Southern Red-billed Hornbill
Rufous-tailed Antthrush
Black-winged Red Bishop
Puerto Rican Emerald
Flores Monarch
Palestine Sunbird
Chestnut-breasted Mannikin
Socotra Bunting
Pale-capped Pigeon
Brown Violetear
Blue-streaked Lory
Island Swiftlet
Hooded Dotterel
Red-throated Caracara
Cassin's Vireo
Lesser Ground Cuckoo
Bar-tailed Treecreeper
Cyprus Warbler
Peg-billed Finch
Mistletoe Tyrannulet
Saffron-billed Sparrow
Kakamega Greenbul
Grey-cheeked Nunlet
Red-throated Lorikeet
Seychelles Paradise Flycatcher
Pale Blue Flycatcher
Scarlet-fronted Parakeet
Greyish Baywing
Grey-olive Greenbul
Forest Buzzard
Puerto Rican Bullfinch
Red-backed Shrike
Turquoise-browed Motmot
Yellow-knobbed Curassow
Sichuan Thrush
Abyssinian Slaty Flycatcher
Grey-chested Babbler
Malabar Grey Hornbill
Mexican Parrotlet
Giant Babax
Groove-billed Ani
Chucao Tapaculo
Rodrigues Solitaire
Tablas Drongo
Rusty Blackbird
Grey-headed Canary-flycatcher
Blue-headed Hummingbird
Orange-throated Tanager
Matinan Blue Flycatcher
Dusky Pigeon
Emperor Goose
Fruithunter
Black-thighed Grosbeak
Everett's Thrush
Austral Canastero
Toucan Barbet
Hooded Grebe
Neblina Metaltail
Brown-cheeked Laughingthrush
Black-tailed Antbird
Persian Shearwater
Masked Yellowthroat
Black-faced Hawk
Blue-throated Macaw
Indian Cuckoo
Dalat Bush Warbler
Sulawesi Serpent Eagle
Philippine Collared Dove
Javan Blue Robin
Burchell's Courser
Fluttering Shearwater
Amazonian Pygmy Owl
Common Bronzewing
White-edged Oriole
Giant Weaver
Common Waxbill
White Eared Pheasant
Protea Canary
Grey-throated Warbling Finch
Black-belted Flowerpecker
Short-crested Monarch
Western Miombo Sunbird
Rusty-breasted Whistler
Red-tailed Hawk
Copper Seedeater
Cuban Blackbird
Bicol Ground Warbler
Greater Koa Finch
Rufescent Screech Owl
Saffron-cowled Blackbird
Red-faced Spinetail
Square-tailed Nightjar
Coastal Cisticola
Mexican Sheartail
Rufous-browed Wren
Blue-grey Tanager
Wood Thrush
Green Shrike-Vireo
Merida Brushfinch
Striated Earthcreeper
Ring-necked Dove
Common Firecrest
Grey-capped Social Weaver
Whooping Motmot
Orange-sided Thrush
Spectacled Whitestart
Banded Wattle-eye
Rufous-backed Inca Finch
Rosy Pipit
Espanola Mockingbird
Golden-collared Macaw
Spotless Starling
Bushwren
Buffy Helmetcrest
Bornean Green Magpie
Schalow's Turaco
White-breasted Cuckooshrike
Plain-capped Starthroat
Buru Cuckooshrike
Bates's Nightjar
Caribbean Martin
White-shouldered Ibis
Wilson's Phalarope
White-throated Tapaculo
Thick-billed Fox Sparrow
Pied-billed Grebe
Velvet-fronted Nuthatch
Least Grebe
Urrao Antpitta
Brownish Elaenia
Guadalcanal Owl
Moluccan Monarch
Great Sapphirewing
White-browed Guan
Rufous Hornero
Brown-headed Thrush
Field Sparrow
Black-banded Barbet
Iberian Green Woodpecker
Blyth's Kingfisher
Grey-streaked Honeyeater
Black Oriole
Tocuyo Sparrow
Fiji Whistler
Fire-maned Bowerbird
Tahiti Rail
Pemba Green Pigeon
Somali Bee-eater
Cinereous Ground Tyrant
Eastern Subalpine Warbler
Yellow-bellied Waxbill
Plain White-eye
Grey-and-buff Woodpecker
Malayan Partridge
Crested Francolin
Black-polled Yellowthroat
Himalayan Thrush
Southern Grosbeak-Canary
Emperor Penguin
Loango Weaver
Rufous-tailed Tailorbird
Palawan Flowerpecker
White-browed Conebill
White-tipped Monarch
Green Imperial Pigeon
Oriental Plover
Velvet-fronted Grackle
Garden Warbler
Taveta Weaver
Chinese Blue Flycatcher
White-chested Emerald
Kimberley Honeyeater
Dark-winged Trumpeter
Dodo
Orange-billed Nightingale-Thrush
White-shouldered Antbird
Ainley's Storm Petrel
Chestnut-fronted Macaw
Lizard Buzzard
Denham's Bustard
Blue-throated Blue Flycatcher
Black-throated Apalis
Minas Gerais Tyrannulet
Central American Pygmy Owl
Torrent Flyrobin
Watkins's Antpitta
Slaty Monarch
Rufous-throated Bronze Cuckoo
Red-faced Warbler
Capped Conebill
Grey-winged Inca Finch
White-bearded Greenbul
Thrush Nightingale
Black Stork
Slaty-backed Thrush
Western Fieldwren
Crested Barbet
Elegant Parrot
Mourning Collared Dove
Cuban Kite
Pale-breasted Thrush
Little Thornbird
Greater Necklaced Laughingthrush
Ecuadorian Rail
Pardusco
Green-tailed Warbler
Broad-billed Roller
Grey-hooded Parrotbill
Hainan Peacock-Pheasant
Orange-necked Partridge
Turkestan Short-toed Lark
Aztec Thrush
Magpie Mannikin
Rufous-bellied Tit
White-bellied Fantail
Western Black-headed Batis
Moorland Chat
Graceful Pitta
Maleo
Comoros Olive Pigeon
Long-billed Bernieria
Great Eared Nightjar
Laggar Falcon
Indian Pitta
Golden-green Woodpecker
Two-banded Warbler
White-browed Scrubwren
Purple Martin
Blue-and-gold Tanager
Chestnut-vented Conebill
Red-crested Turaco
Slaty-breasted Tinamou
Japanese Wagtail
Blood-breasted Flowerpecker
Plain-flanked Rail
African Grey Flycatcher
Ruddy Turnstone
Greater Wagtail-Tyrant
Olive-colored White-eye
Sooty Antbird
Jocotoco Antpitta
Tytler's Leaf Warbler
Striolated Bunting
Ochraceous Bulbul
Crimson Fruitcrow
Common Newtonia
Heuglin's Wheatear
Cyprus Wheatear
Tristan Moorhen
Bamboo Foliage-gleaner
Cinereous Tyrant
Brown-tailed Rock Chat
Ruddy-breasted Seedeater
Evergreen Forest Warbler
Sumatran Ground Cuckoo
Nubian Bustard
Scarlet-headed Flowerpecker
Rosy-throated Longclaw
Olive Sunbird
Grey Falcon
African Spotted Creeper
Cerulean Flycatcher
Black-casqued Hornbill
White-winged Becard
White-throated Woodcreeper
Little Chachalaca
Quailfinch
Grey-throated Warbler
Venezuelan Flycatcher
Apical Flycatcher
Yellow-shouldered Grosbeak
Elegant Trogon
Chestnut Bunting
Upland Goose
Shelley's Crimsonwing
Salvadori's Antwren
Yellow-collared Chlorophonia
Crowned Hornbill
Coiba Spinetail
Red-shouldered Cuckooshrike
Brown-throated Barbet
Bush Stone-curlew
Fan-tailed Warbler
Simeulue Scops Owl
Islet Kingfisher
Mount Cameroon Spurfowl
Chestnut Munia
Pale-bellied Tyrant-Manakin
Rock-loving Cisticola
Streak-backed Antshrike
Reunion Sheldgoose
Pale-tailed Barbthroat
Lawrence's Thrush
Violet Sabrewing
Koklass Pheasant
West African Batis
Sulawesi Swiftlet
Black-capped Speirops
Orange Oriole
Rufous Hawk-Cuckoo
Red-faced Crombec
Talamanca Hummingbird
Kinglet Calyptura
South Island Oystercatcher
Piping Crow
Yellow-breasted Antwren
Crissal Thrasher
Mascarene Paradise Flycatcher
Maroon-fronted Parrot
Military Macaw
Saunders's Gull
Houbara Bustard
Southern Pochard
Lesser Horned Owl
Great Nicobar Serpent Eagle
Fish Crow
Long-trained Nightjar
Tibetan Snowcock
Fiji Woodswallow
Plumbeous-backed Thrush
White-striped Warbler
Pied Kingfisher
Ruddy Duck
Szechenyi's Monal-Partridge
Arabian Partridge
Rufous-tailed Flycatcher
Red-vented Malimbe
Keel-billed Toucan
White-tailed Ant Thrush
Small Pratincole
Steller's Jay
Ruddy-capped Nightingale-Thrush
Cardinal Quelea
Carnaby's Black Cockatoo
Creamy-crested Spinetail
Grey Cuckooshrike
Chestnut-crowned Bush Warbler
Rufous-capped Brushfinch
Red-bellied Malimbe
Common Swift
Speckled Chachalaca
Roseate Tern
Tawny-crowned Honeyeater
Socorro Dove
Roadside Hawk
Philippine Pied Fantail
Javan Trogon
Mountain Tailorbird
Taiga Flycatcher
Red-cockaded Woodpecker
Ashy Storm Petrel
Black-billed Streamertail
Gabela Akalat
Fawn-breasted Whistler
White-headed Pigeon
Two-banded Puffbird
Stripe-billed Aracari
Malabar Pied Hornbill
Bonaparte's Parakeet
Papuan Treecreeper
Dusky Tapaculo
White-chested Alethe
Tricolored Munia
Singing Quail
Thick-billed Warbler
Dusky Megapode
Band-tailed Guan
Casqued Oropendola
Fearful Owl
Lapland Longspur
Tooth-billed Bowerbird
Iberian Magpie
Lord Howe Gerygone
White-breasted Babbler
Philippine Hawk-Eagle
Common Ground Dove
Black-headed Bee-eater
Flame-breasted Flowerpecker
Puerto Rican Tody
Rufous Spinetail
Sombre Pigeon
Egyptian Plover
Buru Dwarf Kingfisher
Puno Antpitta
White-bellied Bush Chat
Grey-breasted Seedsnipe
Many-colored Chaco Finch
Chestnut-throated Seedeater
Romblon Hawk-Owl
Madagascar Owl
Solitary Sandpiper
Greater Kestrel
Horned Coot
Great Snipe
Crane Hawk
Thick-billed Green Pigeon
Common Tody-Flycatcher
Pirre Warbler
Jamaican Spindalis
Pale Chanting Goshawk
Bar-throated Apalis
Sooty-headed Bulbul
Sharp-tailed Streamcreeper
Ochre-bellied Dove
Grey-faced Petrel
Berlepsch's Canastero
Blue-winged Laughingthrush
Wilson's Bird-of-paradise
Beryl-spangled Tanager
Greenish Warbler
Vinaceous Dove
Daurian Jackdaw
Common Myna
Collared Laughingthrush
Black Robin
McConnell's Spinetail
Orange-collared Manakin
Guianan Cock-of-the-rock
Fan-tailed Grassbird
Trinidad Motmot
Mindanao Pygmy Babbler
Thick-billed Seedeater
Hispaniolan Emerald
Dusky Fulvetta
Hill Pigeon
Reed Cormorant
Pink-necked Green Pigeon
White-chested Swift
Rufous-breasted Warbling Finch
Bare-necked Umbrellabird
St. Kitts Bullfinch
Spotted Thick-knee
Mountain Imperial Pigeon
Resplendent Quetzal
Grey-necked Bunting
Slate-colored Grosbeak
Sumatran Bulbul
White-bellied Tyrannulet
Common Bulbul
Nile Valley Sunbird
Rusty-breasted Wren-Babbler
Lesser Swallow-tailed Swift
Buru Jungle Flycatcher
Blue-spotted Wood Dove
Scaly-breasted Illadopsis
Bare-necked Fruitcrow
Streak-throated Barwing
Sumatran Treepie
New Georgia Dwarf Kingfisher
White-naped Monarch
Sombre Hummingbird
Yellow-legged Thrush
Wilson's Snipe
Striated Caracara
Whiskered Flowerpecker
Golden-browed Warbler
Curl-crested Aracari
White-tailed Eagle
Streaked Scrub Warbler
Bougainville Thicketbird
Glacier Finch
Puna Snipe
Marsh Antwren
Short-clawed Lark
Swamp Palm Bulbul
Sentinel Rock Thrush
Verditer Flycatcher
Purple Starling
White-fronted Honeyeater
Ashy Woodswallow
Red Sea Cliff Swallow
Green Aracari
Water Pipit
Ascension Crake
Himalayan White-browed Rosefinch
Grey Hawk
White-throated Treecreeper
Garrett's Reed Warbler
Atlas Wheatear
Scissor-tailed Flycatcher
Asian Green Bee-eater
Pitta-like Ground Roller
Stolid Flycatcher
Yellow-browed Melidectes
Pygmy Hanging Parrot
Stripe-throated Jery
Cocoa Thrush
Brown Accentor
Violaceous Quail-Dove
Northern Harrier
Large Cuckooshrike
Long-tailed Reed Finch
Horned Screamer
Spix's Woodcreeper
Orange-tufted Sunbird
White-necked Raven
Red-banded Fruiteater
Cinnamon Bracken Warbler
Great Cuckoo-Dove
Streak-throated Woodpecker
Coral-billed Scimitar Babbler
Rufous-breasted Wood Quail
Brownish-headed Antbird
Steller's Eider
Paramo Pipit
Piping Plover
Tinkling Cisticola
Seven-colored Tanager
Rufous-rumped Antwren
Black Mamo
Cinnamon-chested Bee-eater
Dark-capped Bulbul
Emei Leaf Warbler
Roraiman Antbird
Northern Mountain Cacique
Red Spurfowl
Buff-bellied Tanager
Olive-backed Tailorbird
Masked Water Tyrant
Streaked Fantail
Dot-eared Coquette
Hawaiian Crow
Red-crowned Ant Tanager
Lavender Waxbill
Crimson Seedcracker
Slaty-winged Foliage-gleaner
Rufous-backed Thrush
Ash-browed Spinetail
Flame-throated Warbler
Bounty Shag
Brown Fantail
Pigeon Guillemot
Biak Paradise Kingfisher
Red-gartered Coot
Forest Owlet
Rosy-patched Bushshrike
Grey-headed Parakeet
Principe Weaver
White-rumped Falcon
Ultramarine Grosbeak
Nicaraguan Grackle
Green-and-white Hummingbird
Bar-winged Weaver
Scimitar-winged Piha
Finsch's Rufous Thrush
Long-tailed Minivet
Red-wattled Lapwing
Crowned Chat-Tyrant
Black-banded Fruit Dove
Streaky-breasted Flufftail
Abbott's Sunbird
White-crowned Cuckoo
Capped White-eye
Brown Noddy
Snail Kite
Robust White-eye
Indigo Bunting
Collared Nightjar
Senegal Thick-knee
Yellow-vented Warbler
Red Wattlebird
Scarlet-rumped Cacique
Violet-crowned Hummingbird
White-necked Petrel
Purple-bearded Bee-eater
Common Cicadabird
Chatham Albatross
African Piculet
Greater Blue-eared Starling
Bonin Grosbeak
Banda Myzomela
Large-billed Gerygone
Black-hooded Oriole
Curlew Sandpiper
Tibetan Bunting
Chowchilla
Guaiabero
Woodchat Shrike
White-bearded Manakin
Striped Prinia
Black-capped Tyrannulet
White-browed Scimitar Babbler
Stripe-faced Greenbul
Rufous-bellied Triller
Laysan Duck
Sangihe Pitta
Least Poorwill
Crow Honeyeater
Pacific Parakeet
Strong-billed Woodcreeper
Grey Butcherbird
Cinnamon-tailed Fantail
Ashy-headed Greenlet
Bar-winged Prinia
Brassy-breasted Tanager
Green-and-gold Tanager
Yucatan Jay
Buff-browed Chachalaca
Rachel's Malimbe
Spangled Coquette
Violet-bellied Hummingbird
White-throated Mountain Babbler
Bates's Swift
Orange River White-eye
Sooty Shearwater
Violet-fronted Brilliant
Grey Hypocolius
Senegal Eremomela
Wrinkled Hornbill
Pale-tailed Canastero
Rufous-vented Whitetip
Brown-bellied Swallow
Louisiade White-eye
Barred Laughingthrush
Bolivian Recurvebill
Tumbes Hummingbird
Blue-breasted Bee-eater
Mauritius Cuckooshrike
