Bird Species
Madagascar Grebe
Wood Pipit
Mindanao Miniature Babbler
Philippine Leaf Warbler
Dusky-tailed Canastero
Swallow-tailed Cotinga
Junin Grebe
Enggano Hill Myna
Rufous-browed Tyrannulet
St. Lucia Black Finch
Rufous-banded Miner
Oriental Magpie
Sao Tome Thrush
Auckland Shag
Black-capped Screech Owl
Andean Duck
Grey-cheeked Bulbul
Tamaulipas Pygmy Owl
Greyish-crowned Leafbird
Fulvous-vented Euphonia
Plumbeous-crowned Tyrannulet
Chestnut-eared Aracari
White-spotted Fantail
Sao Tome Green Pigeon
St. Helena Rail
Painted Parakeet
Rufous-browed Flycatcher
Large Wren-Babbler
Latham's Snipe
White-browed Triller
Javan Munia
Great Spotted Woodpecker
Eastern Nicator
Sula Fruit Dove
Slaty Elaenia
Mountain Leaf Warbler
Redwing
Bonin Greenfinch
Great-winged Petrel
Oak Titmouse
Greater Striped Swallow
Carruthers's Cisticola
Plain Laughingthrush
Orange Weaver
Red-headed Bluebill
White-bellied Nothura
Green Ibis
Nauru Reed Warbler
Chapin's Babbler
Sanford's Sea Eagle
Zimmer's Tapaculo
Sooty Tern
Blackpoll Warbler
Pohnpei Cicadabird
Ruby-crowned Kinglet
Blue-fronted Redstart
Olive-backed Euphonia
Black-necked Crane
Rufous-bellied Nighthawk
Plain Sunbird
Blue-bellied Roller
Scarlet-backed Flowerpecker
Karoo Eremomela
Lesser Grey Shrike
Saker Falcon
Plain-colored Tanager
Puna Tapaculo
Racket-tailed Coquette
Eurasian Three-toed Woodpecker
White-browed Robin
Lompobattang Flycatcher
Speckled Mousebird
Sri Lanka Frogmouth
Bronze-winged Jacana
Bronze-tailed Plumeleteer
Indian Pond Heron
Rufous-tailed Foliage-gleaner
Slender-billed Crow
Plains-wanderer
White-fronted Woodpecker
Spot-winged Antbird
Black Cicadabird
White-browed Shortwing
King Rail
Asian Stubtail
Sacred Kingfisher
Topknot Pigeon
Oriole Blackbird
Yellow-throated Bush Sparrow
Aldabra Fody
Broad-billed Prion
Fiji White-eye
Straight-billed Earthcreeper
Pallas's Grasshopper Warbler
Reiser's Tyrannulet
Butterfly Coquette
Brown-winged Schiffornis
Chestnut-bellied Euphonia
Lesser Sooty Owl
Hooded Mountain Tanager
Dulit Frogmouth
Red-collared Lorikeet
Rusty-flanked Crake
Garnet Pitta
Orinoco Saltator
Seram Honeyeater
Spot-winged Pigeon
Guadalcanal Honeyeater
Grey Silky-flycatcher
Forest Elaenia
Coal-crested Finch
Ochre-rumped Antbird
Pilotbird
African Blue Flycatcher
Blue-billed Malimbe
Yellow-breasted Crake
Stripe-cheeked Greenbul
Black-naped Fruit Dove
Purple-capped Fruit Dove
Sykes's Nightjar
Eurasian Blackcap
Red-bellied Woodpecker
Russet Sparrow
Fraser's Forest Flycatcher
Line-fronted Canastero
Northern Beardless Tyrannulet
Eared Quetzal
Gibberbird
Papyrus Canary
Rufous-chinned Laughingthrush
Short-legged Ground Roller
Band-tailed Barbthroat
Bay Antpitta
Black-cheeked Woodpecker
Chinese Grey Shrike
Bismarck Black Myzomela
White-mantled Barbet
Meyer's Friarbird
Clapperton's Spurfowl
Eastern Spot-billed Duck
Little Wood Rail
Short-billed Canastero
Handsome Fruiteater
Puerto Rican Spindalis
Philippine Bulbul
Northern Golden Bulbul
White-browed Hemispingus
Yellow-shouldered Blackbird
Black-cheeked Warbler
Little Crake
Black Lory
Cuban Pewee
White Bellbird
Arrowhead Piculet
Barred Long-tailed Cuckoo
Scaly Chatterer
Lesser Black-backed Gull
Mountain Bluebird
Least Seedsnipe
Waved Albatross
Hoary Puffleg
Bicolored Antpitta
Band-tailed Sierra Finch
Sri Lanka Woodshrike
Grey-and-gold Tanager
Archer's Ground Robin
Yellow-vented Bulbul
Polynesian Wattled Honeyeater
Short-tailed Woodstar
Kolombangara Leaf Warbler
Uluguru Greenbul
Rough-crested Malkoha
California Quail
Green Hermit
Pied Oystercatcher
Plain Greenbul
Manus Masked Owl
Black-and-white Triller
Peruvian Pelican
Maranon Crescentchest
Subtropical Pygmy Owl
Boat-billed Flycatcher
Red-headed Myzomela
Mexican Violetear
Thick-billed Seed Finch
Guinea Turaco
Spotted Pardalote
Sumatran Partridge
Rufous-vented Ground Cuckoo
Green-backed Eremomela
Black Shama
Congo Moor Chat
Orchard Oriole
Goliath Imperial Pigeon
Hairy-backed Bulbul
Sao Tome Shorttail
Bougainville Bush Warbler
Fairy Pitta
New Zealand Fantail
White-throated Jacamar
Vietnamese Greenfinch
Blue-breasted Blue Flycatcher
